Year,Annual Increase,Uncertainty
11/1/59,0.96,0.31
11/1/60,0.71,0.27
11/1/61,0.78,0.27
11/1/62,0.56,0.27
11/1/63,0.57,0.28
11/1/64,0.49,0.27
11/1/65,1.1,0.26
11/1/66,1.1,0.28
11/1/67,0.61,0.34
11/1/68,0.99,0.32
11/1/69,1.32,0.29
11/1/70,1.13,0.32
11/1/71,0.73,0.3
11/1/72,1.47,0.31
11/1/73,1.46,0.31
11/1/74,0.68,0.31
11/1/75,1.23,0.27
11/1/76,0.97,0.28
11/1/77,1.92,0.29
11/1/78,1.29,0.24
11/1/79,2.14,0.26
11/1/80,1.7,0.11
11/1/81,1.15,0.07
11/1/82,0.99,0.07
11/1/83,1.85,0.09
11/1/84,1.24,0.12
11/1/85,1.62,0.1
11/1/86,1.02,0.11
11/1/87,2.7,0.1
11/1/88,2.25,0.09
11/1/89,1.38,0.11
11/1/90,1.17,0.09
11/1/91,0.74,0.09
11/1/92,0.7,0.1
11/1/93,1.23,0.07
11/1/94,1.68,0.11
11/1/95,1.95,0.11
11/1/96,1.06,0.08
11/1/97,1.97,0.08
11/1/98,2.82,0.11
11/1/99,1.37,0.08
11/1/00,1.23,0.11
11/1/01,1.82,0.09
11/1/02,2.36,0.07
11/1/03,2.29,0.09
11/1/04,1.57,0.05
11/1/05,2.43,0.08
11/1/06,1.75,0.06
11/1/07,2.09,0.07
11/1/08,1.79,0.05
11/1/09,1.61,0.06
11/1/10,2.43,0.07
11/1/11,1.7,0.08
11/1/12,2.39,0.07
11/1/13,2.41,0.08
11/1/14,2.04,0.08
11/1/15,2.94,0.07
11/1/16,2.86,0.08
11/1/17,2.14,0.09
